ruwana wichqay	cerrar sesión		2_76365
Llamkanakuna Yachaymanta OneNote kaqpaq	Herramientas de aprendizaje para OneNote		39934_2323812
rikchayta churay	instalar imagen		39935_2324831
Dispositivo Punku	Portal de dispositivos		40030_2635486
Windows Dispositivo Punku	Portal de dispositivos Windows		40030_2327887
Programaynin	Programación		40080_2329245
programay	programar		40081_2329246
Device Guard Windows Harkay	Device Guard de Windows Defender		40082_2461480
Device Guard siqiy	firma de Device Guard		40083_2329248
Fluent	Fluent		40084_2329249
Kikillan Pichaynin	Purga automática		40091_2329597
ZAP	ZAP		40091_2329598
Sway kaqman apachiy	Enviar a Sway		40092_2329599
Waqaychaypa Harkaqnin	Bloqueo de conservación		40109_2330388
sapaq waqaychana	tienda privada		40111_2330390
mana tinkisqa saywasiq'i	mapa sin conexión		40112_2330405
LOB riqsichiq	editor de LOB		40116_2331305
sinri qatunapaq riqsichiq	editor de línea de negocio		40116_2331304
llamkanakuna p'ulin	aplicación por volumen		40118_2331575
Harkaq Yanapaykuna	Sugerencias de seguridad		40124_2332081
Kamachina Yanapaykuna	Sugerencias de directiva		40126_2332083
Qhawarisqa	Prioritarios		40162_2333642
Ch'usaq Yaykumuq chaskiq	Bandeja de entrada a cero		40163_2333645
Nisqakuna	Menciones		40226_2339682
Tikraynin	Transformación		40227_2339683
kawsarichiy	restaurar		40256_2341040
uyarina kawsarichiy	activar sonido		40263_2341113
yanapay	colaboración		40267_2341357
Credential Guard Windows Harkay	Credential Guard de Windows Defender		40273_2461473
kamachiq	administrador		40284_2343496
achuraq	distribuidor		40285_2343497
Moji	Moji		40294_2343730
Office 365 Ñawparisqa Electronicu willay mask’ay	eDiscovery avanzado de Office 365		40306_2344999
Qayanakunapaq Plan	Plan de llamadas		40308_2710188
Sistema Telefonopaq	Sistema telefónico		40309_2710191
MyAnalytics	MyAnalytics		40311_2588076
MyAnalytics Outlook huntapaq	complemento MyAnalitics de Outlook		40312_2653175
Utqhaq Tullpu	Trazo según velocidad		40340_2345583
TEXTJOIN	UNIRCADENAS		40350_2346144
CONCAT	CONCAT		40352_2346146
IFS	SI.CONJUNTO		40353_2346147
SWITCH	CAMBIAR		40354_2346148
MAXIFS	MAX.SI.CONJUNTO		40355_2346149
MINIFS	MIN.SI.CONJUNTO		40356_2346150
willana ch'illchisqa siqisiqi	gráfico de embudo		40392_2347434
chaninchamuykuna siqisiqi	gráfico de cotizaciones		40398_2347587
RSVP	RSVP		40423_2347704
Kunan Canal	Canal actual		40475_2364917
Windows Information Protection	Windows Information Protection		40497_2405212
Empresa willaypa harkaynin	Protección de datos empresariales		40497_2352186
EDP	EDP		40497_2352187
Windows Rimaykuna Sunqu	Centro de comentarios sobre Windows		40502_2353112
Rimaykuna Sunqu	Centro de comentarios		40502_2353113
hatun llamkay patachay	control de empresa		40503_2353114
PowerShell Core	PowerShell Core		40504_2353123
Microsoft Health	Microsoft Health		40602_2357666
PixelSense	PixelSense		40603_2357731
Planner	Planner		40618_2392508
Utqhay Suysukuna willaypa listanpaq	Filtros rápidos para lista de mensajes		40619_2357847
Utqhay Suysukuna	Filtros rápidos		40620_2357848
Hashtags	Hashtags		40621_2357849
Aswan riqsisqa	Lo más famoso		40632_2358041
Aswan ranqhasqa	Más vendidos		40633_2358042
Willana sinrita	Línea de tiempo		40652_2358625
Qallariymanta paskay	desanclar de Inicio		40653_2358634
map siqisiqi	gráfico de mapa		40657_2358714
OneNote Rantikuq	Importador de OneNote		40677_2359171
Outlook Groups	Outlook Groups		40678_2359180
Aswan ranqhasqa TV programakuna	Programas de TV más vendidos		40683_2360130
mana willaywan	sin anuncios		40684_2360133
albunpa willariykuynin	información del álbum		40685_2360134
reparto chaymanta runakuna	reparto y equipo		40686_2360135
taqwiriy	explorar		40687_2360136
utqhaypi HD kaqpi	HD al instante		40694_2360413
Takiypa rantikunan	Ofertas de música		40697_2360416
Takiyniy	Mi música		40698_2360417
Mana akllasqawan	Sin calificar		40699_2360422
Kunan pukllaykuna	Reproducciones recientes		40700_2360425
pacha yaykuna	pase de temporada		40701_2360426
video yachay churana	biblioteca de videos		40703_2360428
Aswan ranqhasqa takikuna	Canciones más vendidas		40705_2360433
Peliculaypi & TV kaqniypi	Mis películas y TV		40706_2360434
ñawpa ñiqichay	pedir por adelantado		40707_2360435
rikchayninkuna kunanchay	actualización de características		41774_2364764
imaynataq kunanchay	actualización de calidad		41775_2364765
qawana t'iktuy	anotación en captura de pantalla		41776_2377731
Qillqachiy	Dictado		41781_2428469
Qillqachiy	Dictar		41781_2365465
Allichasqa qillqachiynin	Dictado mejorado		41781_2365464
Imayna qhawariy	modo Focalizado		41782_2365466
T'aqa paqarina	Espaciado de fuente		41783_2365467
Rimaypa rak'ikunanmanta	Elementos de la oración		41784_2365468
Phatmikuna	Sílabas		41785_2365470
Aswan Phatmikuna	Más sílabas		41785_2427819
Imayna yachaynin	modo Comprensión		41786_2365471
Yanapakuy	Soporte		41787_2365479
Sasachakuykunata allichay	Solución de problemas		41788_2365481
Huchuy sinrikuna	Líneas breves		41800_2367633
AVERAGE.WEIGHTED	PROMEDIO.PONDERADO		41826_2368192
TEXTAFTER	TEXTODESPUES		41827_2368193
TEXTBEFORE	TEXTOANTES		41828_2368195
TEXTBETWEEN	TEXTOENTRE		41829_2368196
CLOOKUP	BUSCARC		41830_2368197
Wankisqa Ñawiq	Lector inmersivo		41836_2368390
lliw tarikuynin	ubicación general		41855_2374281
ñawpaqchasqa tarikuynin	ubicación predeterminada		41856_2374312
Windows Harkay ATP	ATP de Windows Defender		41878_2385775
Microsoft Harkay ATP	ATP de Microsoft Defender		41878_2785591
Windows Hello uya	rostro de Windows Hello		41880_2370579
Windows Hello rawkanasqa yupi	huella digital de Windows Hello		41881_2370580
Windows Hello iris	iris de Windows Hello		41882_2370581
SINGLE()	SIMPLE()		41917_2372848
llakaq phanikuna	horas activas		41919_2373340
Laqay chaymanta riy	Pegar e ir		41920_2373341
Utqhay Yanapakuy	Asistencia rápida		41921_2373342
Asuykaruchaypa Pisiyachiynin	Vista general de resumen		41931_2374260
Kanchachiqpa Asuykaruchaynin	Vista general de diapositiva		41932_2374261
Ruwanap Asuykaruchaynin	Vista general de sección		41933_2374264
Yachaywasipa Computadorakunanta Takyachiy	Configurar equipos académicos		41938_2374322
Huk Mallinata Ruway	Hacer un examen		41939_2374323
Aswan alquilasqa pukllaykuna	Juegos con mayor número de alquileres		41946_2375030
Aswan alquilasqa llamkanakuna	Aplicaciones con mayor número de alquileres		41947_2375031
Aswan alquilasqa	Mayor número de alquileres		41948_2375032
Aswan rantikusqa pukllaykuna	Juegos más vendidos		41949_2375033
Aswan rantikusqa llamkanakuna	Aplicaciones más vendidas		41950_2375034
Aswan riqsisqa llamkanakuna	Aplicaciones más populares		41951_2375035
Aswan riqsisqa pukllaykuna	Juegos más populares		41952_2375036
Musuq pukllaykuna	Juegos nuevos		41953_2375037
Musuq llamkanakuna	Aplicaciones nuevas		41954_2375038
Aswan pukllasqa pukllaykuna	Juegos más usados		41955_2375039
Aswan pukllasqa llamkanakuna	Aplicaciones más usadas		41956_2375040
uma runa ayllumanta	experto de la comunidad		41957_2375041
Windows 10 Kunanyachiypa Aniversarionpaq	Actualización de aniversario de Windows 10		41978_2375534
qutusqa	agrupación		42013_2376461
Siq'isiqi Llamkanakuna	Herramientas de gráficos		42014_2376761
Siq'isiqi Tikray	Cambiar de gráfico		42015_2376763
Siq'isiqi Kawsarichiy	Restablecer gráfico		42016_2376766
Siq'isiqi hunt'ay	Relleno de gráficos		42017_2376769
Siq'isiqip imayna kasqan	Efectos de gráficos		42018_2376774
Muyuriq Siq'isiqimanta	Contorno de gráficos		42019_2376775
Tinkuchiqkuna	Conectores		42020_2376839
Office 365 Tinkuchiqkuna	Conectores de Office 365		42020_2376840
Tinkuchiqkuna	Conectores		42021_2376841
tinkuchiq tarjeta	tarjeta de conector		42022_2376842
Office 365 kaqman tinkiy	Conectarse a Office 365		42023_2376843
Office 365 tinkuchiq	Conector de Office 365		42027_2377606
t'iktuypaq bloc	bloc de bocetos		42031_2377732
Windows Ink	Windows Ink		42032_2377733
Windows Ink Llamk'anan pampan	Área de trabajo de Windows Ink		42033_2377734
HoloLens	HoloLens		42054_2378903
Microsoft HoloLens	Microsoft HoloLens		42054_2378902
Windows Defender Hub	Windows Defender Hub		42056_2379060
Qillqanapa Yanapakuqnin	Asistente de redacción		42062_2381570
Qhawariq	Editor		42062_2418985
Aswan akllasqa pukllaykuna	Juegos destacados		42067_2380645
Aswan akllasqa llamkanakuna	Aplicaciones destacadas		42068_2380646
Aswan riqsisqa pukllaykuna	Juegos más populares		42069_2380647
Aswan riqsisqa llamkanakuna	Aplicaciones más populares		42070_2380648
Hanaqman takyachiy	Anclar al principio		42100_2382699
Windows 10 Enterprise 2016 LTSB	Windows 10 Enterprise 2016 LTSB		42118_2384044
Asuykaruchay	Vista general		42129_2385664
Allinqillqana	Ortografía		42131_2386258
Allinrimana akllanakuna	Opciones gramaticales		42132_2386259
Allinrimana	Gramática		42132_2386260
Ch'uya chaymanta conciso qillqa	Claridad y concisión		42133_2386261
Oficial Simi	Lenguaje formal		42134_2386262
Simi Yaykuchiy	Lenguaje inclusivo		42135_2386263
Hurqukuynin Kamachinakuna	Convenciones de puntuación		42136_2386268
Simikuna akllana	Elección de vocabulario		42137_2386269
Kikinkamalla	Coherencia		42138_2386270
Apaykachana qawana	Vista para dispositivos móviles		42142_2386548
CRM Outlook kaqpaq	CRM para Outlook		42171_2389361
Dynamics CRM Outlook kaqpaq	Dynamics CRM para Outlook		42171_2387177
Rewards	Rewards		42173_2387242
Microsoft Rewards	Microsoft Rewards		42173_2387241
ñawpaq qaway	previsualizar		42205_2389315
ñawpaq qawarina	vista previa		42206_2389316
facturacion	facturación		42207_2389317
facturap paqariynin	facturación		42208_2389319
tullpu	trazo		42212_2389893
llamkana yanapakuq	aplicación complementaria		42213_2390287
Imayna kay siqi	Barra de estado		42291_2393332
Asuykaruchay Rikchaykuna	Estilos de la vista general		42292_2393361
Asuykaruchay Imayna kasqan	Efectos de la vista general		42299_2393976
huñusqa qawachiq	grupo de pestañas		42300_2393979
Asuykaruchay Llamkanakuna	Herramientas de la vista general		42302_2393981
Asuykaruchay Kantu	Borde de la vista general		42303_2393982
Asuykaruchay Akllanakuna	Opciones de la vista general		42304_2393983
serializar nisqa	hidratar		42326_2394553
Windows Hello para la Empresa	Windows Hello para empresas		42351_2396187
Avatar imakuna	Elementos de avatar		42352_2396192
Masi	Compañero		42353_2396193
Ruwanakuna	Herramientas		42354_2396194
Achka-pukllaq Tinkisqapi Kampu Awqanakuypaq	Campo de batalla en línea multijugador		42355_2396195
Docs.com kaqpi uyaychay	Publicar en Docs.com		42378_2396738
Tullpu telefonopaq	Entrada de lápiz para teléfono		42392_2397414
Siqiy	Trazo		42393_2397415
Qillqa SmartArt kaqpi	Texto a SmartArt		42394_2397416
Xbox Play Anywhere	Xbox Play Anywhere		42425_2400154
Kikinlla waqaychay	Autoguardado		42445_2404433
makiwan qillqa	escritura de entrada táctil		42461_2406708
Outlook Customer Manager	Outlook Customer Manager		42464_2407232
OCM	OCM		42464_2407233
Customer Manager	Customer Manager		42464_2605166
Imayna Qhawariy	Modo Foco		42469_2407531
Bookings	Bookings		42470_2462549
Chharqusqa DPI mudu	modo DPI mixto		42473_2407877
Willariynin	Foco		42474_2407904
chaniyuq tienda	almacén de claves		42480_2793217
cudigu yupi	firmar el código		42482_2407975
Customer Manager	Customer Manager		42495_2408959
Fluidezpa Hurqukuynin	Puntuación de fluidez		42496_2408960
Llamkanakuna chaymanta Tapukuykuna	Aplicaciones y cuestionarios		42531_2410034
Surface Book	Surface Book		42550_2410359
Surface Pro 4	Surface Pro 4		42551_2410363
Mirachiypa Asuykaruchay	Reproducción de vista general		42559_2410619
Mirachiy yaykuna makiwan	Reproducción de entrada de lápiz		42561_2410885
Matemática yaykuna makiwan	Entrada de lápiz a matemáticas		42562_2410889
qillqasqamanta rimaynin	texto a voz		42564_2410899
Parlay	Leer		42565_2410900
provisional yaykuna makiwan	entrada de lápiz provisional		42566_2410901
nisqa yaykuna makiwan	entrada de lápiz definitiva		42569_2411210
hinaspa yaykuna makiwan	entrada de lápiz editable		42570_2411211
yaykuna tullpu makiwan	entrada de lápiz como lápiz		42571_2411212
yaykuna kikin qillqanahina	entrada similar a lápiz		42572_2411213
Taripay	Investigador		42607_2413500
Taripay	Investigador		42608_2413506
qhipaman phinkiy	saltar atrás		42614_2414369
huñu phinkiypaq	grupo para salto		42615_2414370
phinkiy	saltar		42616_2414371
llika kawsarichiy	restablecimiento de red		42617_2414373
Windows Ink llankaykuna seqe	barra de herramientas de Windows Ink		42639_2414859
asuykaruchay	aplicar zoom		42642_2414869
Time Reporter	Time Reporter		42643_2415082
Office 365 Project Time Reporter	Office 365 Project Time Reporter		42643_2415081
Timesheet	Timesheet		42644_2415086
Willayta Yapay	Agregar cita		42645_2415869
Utqhay qallariq	Inicio rápido		42660_2418366
hanparapa dispositivon	dispositivo de escritorio		42661_2419397
hanpara	dispositivo de escritorio		42661_2418994
kamachina	directiva		42664_2419020
VHLOOKUP	BUSCARVH		42683_2420215
Punchawniy	Mi día		42687_2469958
Sapanchasqa maskanakuna	Reaprovechar		42688_2420738
To Do	To Do		42691_2796252
Microsoft To Do	Microsoft To Do		42691_2796152
tawqay	apilado		42704_2421481
Intiwatana Huñukuna	Grupos de calendarios		42705_2421483
intiwatana huñu	grupo de calendarios		42706_2421486
boleto nisqa	vale		42708_2421490
REGEX.OPTIONS	REGEX.OPCIONES		42734_2421841
REGEX.TEST	REGEX.PROBAR		42735_2421842
REGEX.EXTRACT	REGEX.EXTRAER		42736_2421843
REGEX.MATCH	REGEX.COINCIDIR		42737_2421846
REGEX.FIND	REGEX.BUSCAR		42738_2421847
REGEX.SUBSTITUTE	REGEX.SUSTITUIR		42739_2421848
Ayllu	Comunidad		42741_2422395
Windows Ayllu	Comunidad Windows		42741_2422394
Windows Harkasqa Tinkisqa	Windows Defender sin Conexión		42742_2422398
IFSV2	SI.SV2		42743_2422534
2D Saywasiq'ikuna	Mapas 2D		42753_2422834
Llamkanakuna Yachaymanta	Herramientas de aprendizaje		42758_2425778
Niynin	Definición		42760_2425780
Rikchakuq simikuna	Sinónimos		42761_2425781
Rikchaynin	Imagen		42762_2425782
Huk rikchayninta qaway	Visualización de imagen		42762_2425783
Ñawinchachiy	Lectura en voz alta		42763_2425787
Microsoft StaffHub	Microsoft StaffHub		42764_2425800
chawpi riqsichiq ñiqichanakunapaq	identificador de categoría del hub		42766_2426026
Tikray	Traducir		42778_2427816
Simimanta Willay	Predicción de palabras		42779_2427817
Tikraq	Traductor		42780_2427845
Tikraq Outlook kaqpaq	Traductor para Outlook		42780_2450821
avatar	avatar		42822_2428420
Qillqasqapa Kanpu	Espaciado de texto		42828_2428470
Tikraq	Traductor		42829_2428723
LaTeX Rak'isqakuna	Ecuaciones LaTeX		42832_2429234
Tuta mudu	Modo nocturno		42859_2430605
qillqapa sayaynin	tamaño de texto		42862_2430759
qillqasqapa kanpu	espaciado de texto		42863_2430760
ñawinchachiy	lectura en voz alta		42864_2430761
phatmikuna	sílabas		42865_2430762
Qillqaq lápizpa allichayninmanta	Editor para entradas de lápiz		42878_2430908
kancharichiq	marcador		42885_2432491
siqiy	dibujar		42886_2432492
qillqana	lápiz		42887_2432493
lápiz	bolígrafo		42888_2432494
sullk'a ruwana ñitina	botón de acciones secundarias		42889_2432495
sullk'a ruwana menu	menú de acciones secundarias		42890_2432497
suchuririspa ñitina huñu	grupo de botones desplazables		42891_2432499
Rikchay	Imagen		42895_2433212
mana serifa niqawanchu	sin serifa		42900_2433217
qinqu	curvo		42971_2435051
qinqu ñaupaqchana	proceso curvo		42972_2435052
qinqu rikchay	imagen curva		42973_2435053
Ruwanakuna Correo electrónicomanta	Eventos desde correo electrónico		42974_2435055
umayuq yanapakuy	servicio inteligente		42991_2436154
Ñawpaq qawarina Suchuririy	Vista previa del desplazamiento		42992_2436155
yapaynin	incorporación		42993_2436156
ithiy	retirada		42994_2436157
Tinkisqa Llamkanamanta Llamkanaman	Inicio de sesión entre aplicaciones		42995_2436354
Llapan ruwaqpa allichaynin	Recorte de elemento multimedia		42996_2436355
umayuq llamkana	herramienta inteligente		43002_2436825
umayuq imayna kanan	característica inteligente		43003_2436834
Umayuq yanapakuykuna	Servicios inteligentes		43041_2438781
Umayuq Yanapakuykuna	Servicios Inteligentes		43041_2438198
Office Umayuq Yanapakuykuna	Servicios inteligentes de Office		43041_2676674
Mana allin Ruwachiq Saphi	Forma verbal incorrecta		43042_2438463
Mana allin Suti Ranti	Caso pronominal incorrecto		43043_2438464
Microsoft Paint	Microsoft Paint		43044_2438783
Paint	Paint		43044_2438784
kuqmu ñawpaq qaway	barra de vista previa		43053_2439180
riqsichiy ñawpaq qaway	vista previa de pestaña		43054_2439181
hallich'ay	reservar		43055_2439182
Pichaqta Rak'isqa siqi	Borrador de segmentos		43059_2439287
Llapchana Willay	Guía de encuadre		43060_2439288
VoiceOver	VoiceOver		43060_2505368
Qutukuna	Conjuntos		43061_2439289
Huñukuna Estudiopaq	Estudio de conjuntos		43062_2439290
tarimuqta ima	control de objeto		43065_2439459
qutu	conjunto		43066_2440378
willarina kunanyachiy	historial de actualizaciones		43068_2440726
sinri	garabato		43070_2440728
Ñawpa	Clásica		43079_2441032
Willariynin	Foco		43100_2441981
Yachakuna	Noticias		43102_2441983
Llump'a	Pura		43103_2441984
Samarisqa	Relajada		43104_2441985
Surface Dial	Surface Dial		43105_2441990
Surface Studio	Surface Studio		43107_2441993
Taqarisqa Adjetivokuna	Adjetivos imprecisos		43147_2443106
P'anqakuna	Libros		43163_2445821
qillqa tullpu qillqanawan	conversión a entrada de lápiz		43166_2445824
Runakunay	Mis allegados		43167_2453892
Kunanyachisqa Windows 10 Paqarikuqkunapaq	Actualización de Windows 10 para creadores		43169_2445827
chaqrusqa sullull	realidad mixta		43170_2445830
Sapa	Simple		43173_2445835
tuta k'anchay	luz nocturna		43184_2446073
huñusqa	colección		43202_2447224
Rimaykunay	Mis comentarios		43205_2447227
Ruwana	Actividad		43285_2451017
Llamkana & maskana patachaq	Control de aplicaciones y explorador		43293_2451801
Computadorapa atikuynin & allichaynin	Rendimiento y estado del equipo		43294_2451802
Ayllu akllanakuna	Opciones de familia		43295_2451803
Firewall & llikapa harkaynin	Firewall y protección de red		43296_2451804
Viruspa & Waqllichiqpa harkaynin	Protección contra virus y amenazas		43297_2451805
Ukhun rikchaykuna	Imágenes de fondo		43299_2451996
Chutaypis hinaspa churaypis	Arrastrar y colocar		43301_2452357
Rikchayninkuna	Estilos		43302_2452358
Kamputa Yapay	Agregar espacio		43304_2452360
Ratakuqkuna	Adhesivos		43305_2452362
Kantumanta kantuman	En paralelo		43309_2452425
Rapi kuyuynin	Movimiento de página		43311_2452427
maskanapaq palla	disposición de navegación		43312_2452714
tinkisqa	conexión		43316_2453745
Office 365 Ruwaqkuna	Usuarios de Office 365		43318_2453751
Imayna llankana	Regla		43324_2454174
virtual imayna llankana	regla virtual		43325_2454194
chiqaqchay cudiguta	código de verificación		43350_2455378
Tullpu pituchaypaq	Entrada de lápiz a forma		43370_2457378
Ñawpa	Clásica		43372_2457380
Rimanakuypaq	Conversación		43374_2490692
Mana allin K'aska muyuchiy	Flexión incorrecta		43393_2457752
Kikin Pantasqa Rimaykuna	Locuciones confundidas con frecuencia		43394_2457753
Hunt'a Rimana Saphita Ruway	Uso de forma verbal simple		43395_2457779
Samachimpu Chanta Napaykukuy	Puntuación tras saludo		43396_2457780
Hatun qillqa Pawqar waray chaymanta Aymuray killakunapaq	Uso de mayúsculas en marzo y mayo		43397_2457781
tupachispa	combinación		43398_2457782
K'aska muyuchiy	flexión		43399_2457783
remix	remezcla		43403_2458526
holograma	holograma		43421_2459804
Hologramakuna	Hologramas		43422_2459834
Microsoft Hologramakuna	Hologramas de Microsoft		43422_2481629
Kichan, nisqa	Abierta, sugerida		43437_2460385
Tarikuqpi Electronicop willaynin qhipachiyta chaymanta tariyta	eDiscovery y suspensión local		43456_2461302
Windows Harkay	Windows Defender		43467_2461448
Windows Harkay Llamkanapa Waqaychaynin	Protección de aplicaciones de Windows Defender		43468_2461449
Llamkanapa Waqaychaynin	Protección de aplicaciones		43468_2721513
Windows Harkay Ñawparisqa Harkasqapas Chawpin	Centro de seguridad avanzada de Windows Defender		43470_2461455
Windows Harkay Patachaq Dispositivota	Control de dispositivos de Windows Defender		43471_2461457
chaqrusqa pacha	mundo mixto		43506_2462246
Huk willakuy wakichanawan chantikuy	Conectarse con un plan de datos		43608_2464387
Imaynalla pacha	Hola mundo		43627_2465102
OneDrive para la Empresa Office kaqwan webpi (ruwaq rantisqa)	OneDrive para la Empresa con Office en la Web (compra del usuario)		43628_2781062
Xbox Design Lab	Xbox Design Lab		43662_2465860
Business center	Centro de negocios		43694_2605168
Microsoft Stream	Microsoft Stream		43695_2466239
Stream	Stream		43695_2472968
Microsoft Teams	Microsoft Teams		43697_2466241
Teams	Teams		43697_2666317
360° video	video 360°		43712_2466452
Windows Sonic Auricularespaq	Windows Sonic para auriculares		43714_2466503
Windows 10 Business	Windows 10 Business		43717_2466997
2D qawana	vista 2D		43734_2467150
Learning	Learning		43740_2598335
Qillqaq	Editor		43741_2468086
Matemática Yanapakuq Yaykuna makiwan	Asistente para pasar de entrada de lápiz a matemáticas		43749_2468662
Matemática Yanapakuq	Asistente para matemáticas		43749_2468663
Qutusqa Maskanapaq Rapi	Navegación de páginas apiladas		43761_2469253
Espacial uyarina	sonido espacial		43762_2469812
tikrakuq jaywanata tupachiy	frecuencia de actualización variable		43768_2470183
VRR	VRR		43768_2470196
Markdown	Markdown		43799_2470927
Markdown editor	Markdown editor		43800_2470929
imakuna	historia		43827_2472567
holografico sutichaqpaq ruwaq	creador de etiqueta holográfica		43879_2473454
Microsoft HoloLens Development Edition	Microsoft HoloLens Development Edition		43880_2473560
Microsoft HoloLens Commercial Suite	Microsoft HoloLens Commercial Suite		43881_2473564
chaskina	participación		43905_2475911
q'illi	rechazo		43906_2475967
Windows Holographic for Business	Windows Holographic for Business		43977_2481084
EPUB	EPUB		43992_2481238
quyllurkuna akllariy	clasificación por estrellas		43993_2481249
Kancha Rikchaynimanta	Marco de póster		43999_2481302
kancha rikchaynimanta	marco de póster		44000_2481303
Microsoft paqariq	desarrollador de Microsoft		44142_2481970
Xbox Game Pass	Xbox Game Pass		44161_2482319
yachariypaq tarhita	tarjeta de sugerencias		44166_2482613
Utqhay yachariykuna	Sugerencias rápidas		44167_2482614
Pichaypaq churanapa yanapakuq	Asistente para la limpieza del buzón		44168_2482624
maquinapa jusk'un	ranura de memoria		44194_2483156
Insider Empresakunapaq	Insider para empresas		44196_2483525
Windows Insider Programa Empresakunapaq	Windows Insider Program para empresas		44196_2483498
llamkana siqiq	cajón de aplicaciones		44199_2753637
OneNote kaqman imprimiy	Imprimir en OneNote		44214_2484797
Email Insights	Email Insights		44236_2485603
#HARKASQA!	#¡BLOQUEADO!		44243_2485701
Microsoft Yanapakuy	Soporte técnico de Microsoft		44245_2485904
wankisqa qawana	vista envolvente		44250_2486129
Chaqrusqa Sullull Punku	Portal de realidad mixta		44253_2486136
Windows Mixed Reality	Windows Mixed Reality		44259_2486144
wichqay	cierre		44260_2486898
huñunakuyta waqaychasqa	registro de reunión		44261_2486899
qayaykuna waqaychasqa	registro de llamada		44262_2486900
Qhawarisqa	Principales		44283_2488671
Manchay ranti	Importe de la operación		44290_2488792
Chinkachisqa rantikuna	Operaciones perdidas		44291_2488793
Atipasqa rantikuna	Operaciones ganadas		44292_2488794
Kawsaq rantikuna	Operaciones activas		44293_2488795
Company Portal	Company Portal		44329_2490036
Intune Company Portal	Intune Company Portal		44329_2489211
Aswan qhipaman Apachiy	Enviar más tarde		44349_2490693
#MANAJACH'AYCHU!	#SINDESBORDAMIENTO!		44350_2490694
#TINKIY!	#CONECTAR!		44351_2490695
Jach'ay	Desbordamiento		44352_2490696
qipichisqakuna kamachichkan	paquete de aprovisionamiento		44355_2493977
STEM	STEM		44356_2493981
kiti paqarinapaq	espacio de creación		44357_2493985
qhapaq mallina	examen decisivo		44358_2493987
Microsoft Store Yachaypaq	Microsoft Store para Educación		44360_2496992
runapa kaynin tarhita	tarjeta de perfil		44418_2501250
mast'arisqa qawana	vista expandida		44419_2501251
Fotokuna & Videokuna	Fotos y videos		44431_2550466
muyu kunanchaymanta	círculo de actualizaciones		44479_2502886
Dubai Font	Dubai Font		44485_2502932
SayAs	SayAs		44486_2502933
OneNote Preview	OneNote Preview		44490_2503303
rimay qillqaman tikray	conversión de voz en texto		44494_2504031
Office Dictate	Office Dictate		44495_2504032
t'uqusqa tarhita	tarjeta perforada		44522_2505239
4K	4K		44536_2505315
Manual Punctuation	Manual Punctuation		44537_2505358
ñawpaq willakuy rantikunapaq	historial de pedidos		44546_2506467
Wi-Fi Direct	Wi-Fi Direct		44569_2506611
Simi Ayllu llamkana	Aplicación Comunidad lingüística		44586_2506886
simi ruwarina	tarea lingüística		44587_2506888
LinkedIn runapa kaynin Microsoft kaqpi	Perfil de LinkedIn en Microsoft		44608_2573054
Correo electronicopa qatipanakunan	Plantillas de correo electrónico		44611_2509173
remix	remezclar		44647_2513424
qawaq	visualizador		44648_2513444
Rantiypaq tapuy	Consultar a los padres		44668_2515502
patachasqa waqaychanapa yaykunan	acceso controlado a carpetas		44669_2515503
ecualizador	ecualizador		44670_2515507
Simipa Ayllun	Comunidad lingüística		44671_2515527
Simipa Ayllun qawachiq	pestaña Comunidad lingüística		44672_2515529
SharePoint Insights	SharePoint Insights		44676_2515692
Microsoft Whiteboard Ñawpaq qawana	Microsoft Whiteboard Preview		44738_2519484
willakuypa ruwaynin tarjitapaq	tarjeta de mensajes que requieren acción		44754_2520241
Willakuykunapa Ruwaynin	Mensajes que requieren acción		44755_2520242
willakuypa ruwayninpaq	mensaje que requiere acción		44776_2520537
Exploit Protection	Protección contra vulnerabilidades		44795_2520655
Transform Data by Example	Transform Data by Example		44809_2521577
kuyukuq membresia	pertenencia dinámica		44810_2521581
kuyukuq huñu	grupo dinámico		44811_2521582
flash	flash		44814_2522595
vectorial ima	objeto vectorial		44815_2522648
Reqsichikunapaq Tarjeta	Tarjeta de presentación		44816_2522672
chimpa	frontal		44818_2522794
qhipa	posterior		44819_2522797
kimsa-ñikin cudigu	código de terceros		44820_2522800
kuyusqa patachaq	controlador de movimiento		44823_2524057
Windows Mixed Reality kuyusqa patachaq	Controlador de movimiento de Windows Mixed Reality		44823_2531456
Windows 10 Fall Creators Update	Windows 10 Fall Creators Update		44824_2524653
Allichaynin Willariq	Asesor de estado		44825_2524668
Qallariynimanta Qallariy	Comienzo de cero		44826_2524671
Microsoft Karumanta Hanpara Ñawpaq qawanapaq	Vista previa de Escritorio remoto de Microsoft		44827_2524676
Karumanta Hanpara Ñawpaq qawanapaq	Versión preliminar de Escritorio remoto		44827_2609623
Kawsarichisqa qallariy	Reinicio establecido		44828_2524681
Windows Percepcionpa Yanapakuynin	Servicio de percepción de Windows		44829_2524692
Mixer	Mixer		44832_2524734
tawak'uchu	encuadre		44842_2524849
auricular	casco		44843_2526431
chaqrusqa sullull auricularesnipaq	casco de realidad mixta		44843_2524926
wankisqa auricular	casco envolvente		44844_2524930
tikrana	cambio		44845_2524937
tikray	cambiar		44846_2524939
tawak'uchuy	encuadrar		44861_2528507
One Microsoft	One Microsoft		44863_2529677
ch'usaq imayna kanan	estado cero		44869_2530865
patachaq ñawikunawan	control ocular		44979_2531469
Microsoft 365 Enterprise	Microsoft 365 Enterprise		45069_2542440
