Jesucristo aillu quillca, Davidmanda mirai, David Abrahanmanda mirai.	Libro de la genealogía de Jesucristo, hijo de David, hijo de Abraham	b.MAT.1.1
Llaquishca amigo, alimi raungui ima uquiunaras yanapasha, maspas mana ricsishca purijgunaras.	Amado, fielmente procedes en todo lo que haces a favor de los hermanos, y más aún cuando son forasteros	b.3JO.1.5
Caiguna iglesia ñaupajpi alimi rimanaushca imasna can ali llaquij ashcara	En presencia de la iglesia, ellos han dado testimonio de tu amor	b.3JO.1.6
Alimi raungui paigunara ñambii cachangaj Diosta sirvina valishca tupui, paiguna nambira catisha ringaj.	Si los encaminas como es digno de Dios, harás bien	b.3JO.1.6
Paiguna Diosta llaquishcamanda llucshinauca, imaras mana apisha gentilgunamanda.	porque partieron por amor del Nombre, sin tomar nada de los gentiles	b.3JO.1.7
Ñucanchi casna runaunara chasquinami anchi, cierto shimira yanapangaj.	Por lo tanto, nosotros debemos sostener a los tales, para que seamos colaboradores en la verdad	b.3JO.1.8
Chiraigumanda, ñuca rishaga, pai rashcaunara iyachisha, imasna manali shimiunahua ñucanchira piñasha rimaun	Por esta causa, si voy allá, haré recordar las obras que hace y cómo nos denigra con palabras maliciosas	b.3JO.1.10
Maspas, casna rashcaunahua mana cushi tucusha, uquiunaras mana chasquinzhu, chasquisha niugunaras arcan, paigunara iglesiamanda ichun.	No satisfecho con esto, él mismo no admite a los hermanos; además, impide a los que los quieren recibir y los expulsa de la iglesia	b.3JO.1.10
Ashcara charicani canda quillcangaj, astaun mana munacanichu tintahua plumahuas quillcangaj.	Tenía muchas cosas que escribirte, pero no quiero hacerlo por medio de tinta y pluma	b.3JO.1.13
Ñuca, Judas, Jesucristora sirvij, Jacobo uqui, Dios cayashcaunama quillcauni, Dios Yaya chicanyachishcaunama, Jesucristoi huacachishcaunama.	Judas, siervo de Jesucristo y hermano de Santiago; a los llamados, amados en Dios Padre y guardados en Jesucristo	b.JUD.1.1
Ali shungu, cushi shungus, llaquinas mirachishca achu cangunahua.	Misericordia, paz y amor os sean multiplicados	b.JUD.1.2
Huaquin runauna pacalla icunaushca, ñaupa horasmanda causaiyuj tucungaj nishcauna, Diosta mana llaquij runauna, ñucanchi Diospa gracia ali iyaira turcanaun manali causanahua	Porque algunos hombres han entrado encubiertamente, los cuales desde antiguo habían sido destinados para esta condenación	b.JUD.1.4
Sapalla tucuira ushaj Diosta, ñucanchi Señor Jesucristoras mana ricsinaun.	Ellos son hombres impíos, que convierten la gracia de nuestro Dios en libertinaje y niegan al único Soberano y Señor nuestro, Jesucristo	b.JUD.1.4
Astaun canguna ña ali yachashcara cuti iyaríchisha nini, imasna Señor runaunara Egiptomanda quishpichishca huasha, mana quirijgunara tucuchica.	Ahora bien, quiero haceros recordar, ya que todo lo habéis sabido, que el Señor, al librar al pueblo una vez de la tierra de Egipto, después destruyó a los que no creyeron	b.JUD.1.5
Maspas huaquin angelgunara, paiguna atun inu tupura mana huacachijpi, paiguna quiquin tiaushcara saquijpi, Dios paigunara llandui huacachica, huiñaigama duraj iru huascahua huatanai, atun taripana punzhagama.	También a los ángeles que no guardaron su primer estado sino que abandonaron su propia morada, los ha reservado bajo tinieblas en prisiones eternas para el juicio del gran día	b.JUD.1.6
Shinajllaira, chi tupui cai nuspajguna paiguna aichara huajlichinaun, apuunara mana munasha, ahua pachai tiaj ushajgunaras camisha.	De la misma manera, también estos soñadores mancillan la carne, rechazan toda autoridad y maldicen las potestades superiores	b.JUD.1.8
Randi, Miguel nishca ángel apu Supaihua macanausha Moisespa ayara charingaj, mana munacachu paita maldiciangaj, astaun paita: Señor canda causayachichu, nica.	Pero ni aun el arcángel Miguel, cuando contendía disputando con el diablo sobre el cuerpo de Moisés, se atrevió a pronunciar un juicio de maldición contra él, sino que dijo: "El Señor te reprenda.	b.JUD.1.9
Caigunaga ima mana yachashcaras caminaun: paiguna yachaibi ricsishcaunai iyai illaj animalguna cuenta paigunallara huajlirinaun.	Pero éstos maldicen lo que no conocen; y en lo que por instinto comprenden, se corrompen como animales irracionales	b.JUD.1.10
¡Ayailla paigunamanda! Caímba nambira catinaushca, cullquira apingaj Balaam manali rashcaunai callpasha rinauca, Coré manali rashcai chingarinauca.	¡Ay de ellos! Porque han seguido el camino de Caín; por recompensa se lanzaron en el error de Balaam y perecieron en la insurrección de Coré	b.JUD.1.11
Casna runaunamanda, Enoc Diosmanda rimaca, Enoc Adanmanda canzhis runa asha: Riqui, nica, Señor shamuca paihua ashca huaranga chuyajgunahua,	Acerca de los mismos también profetizó Enoc, séptimo después de Adán, diciendo: "He aquí, el Señor vino entre sus santos millare	b.JUD.1.14
tucuigunara taripangaj, tucui manaliunara causayachingaj, paiguna tucui manali rashcaunara manali rashca ajpi, shinallara tucui piñashca shimiunara manali uchayujguna paimanda rimashcaunara taripangaj.	para hacer juicio contra todos y declarar convicta a toda persona respecto a todas sus obras de impiedad que ellos han hecho impíamente y respecto a todas las duras palabras que los pecadores impíos han hablado contra él.	b.JUD.1.15
Cai runauna piñajgunami, macanuisiquiunami	Éstos se quejan de todo y todo lo critican, andando según sus propios malos deseos	b.JUD.1.16
Paiguna quiquin munashcaunai puríjguna, paiguna shimi cara atun shinzhi shimira rimajguna asha, runaunara yanga alabasha imaras ganangaj.	Su boca habla arrogancias, adulando a las personas para sacar provecho	b.JUD.1.16
Randi, llaquishcauna, iyarichi ñucanchi Señor Jesucristo cachashca runauna rimashca shimiunara.	Pero vosotros, amados, acordaos de las palabras que antes han sido dichas por los apóstoles de nuestro Señor Jesucristo	b.JUD.1.17
Paiguna ninauca: Puchucai tiempoi burlajguna tianaunga, paiguna manali munashcaunai purijguna.	porque ellos os decían: "En los últimos tiempos habrá burladores que andarán según sus propias pasiones, como impíos que son.	b.JUD.1.18
Randi canguna, llaquishcauna, canguna chuyaj quirinai iñasha, Santo Espíritu yanapashcahua Diosta mañasha,	Pero vosotros, oh amados, edificándoos sobre vuestra santísima fe y orando en el Espíritu Santo	b.JUD.1.20
Dios llaquiushcai tiaichi, ñucanchi Señor Jesucristo llaquishcara chapausha, huiñai causaira charingaj.	conservaos en el amor de Dios, aguardando con esperanza la misericordia de nuestro Señor Jesucristo para vida eterna	b.JUD.1.21
Huaquingunara, mana cierto quirijguna ajpi, shinzhira quirichichi.	De algunos que vacilan tened misericordia	b.JUD.1.22
Shujgunara quishpichichi, ninamanda dsas quichusha; shujgunaraga manzhashcahua llaquichi, paiguna churanara chijnisha, aicha irusmanda huajlishcaraigu.	a otros haced salvos, arrebatándolos del fuego; y a otros tenedles misericordia, pero con cautela, odiando hasta la ropa contaminada por su carne	b.JUD.1.23
Dios ushajmi cangunara mana urmasha huacachingaj, shinallara cangunara ima huajli illajpas paihua sumaj ñaupajpi ashca cushihua ricuchingaj.	Y a aquel que es poderoso para guardaros sin caída y para presentaros irreprensibles delante de su gloria con grande alegría	b.JUD.1.24
Shu sapalla yachaj Dios, ñucanchira Quishpichij sumaj, alabashca, mandaj, ushaj achu, cunas, huiñai huiñaigamas	al único Dios, nuestro Salvador por medio de Jesucristo nuestro Señor, sea la gloria, la majestad, el dominio y la autoridad desde antes de todos los siglos, ahora y por todos los siglos	b.JUD.1.25
Amen.	Amén	b.JUD.1.25
Juanga Diospa shimira ricuchica, shinallara Jesucristo rimashcaras, tucui pai ricushcaunaras.	quien ha dado testimonio de la palabra de Dios y del testimonio de Jesucristo, de todo lo que ha visto	b.REV.1.2
Ñuca, Juan, Asia partii tiaj canzhis iglesiaunama quillcauni: Gracia nishca ali iyairas, cushi shunguras charichi Diosmanda, pai tianmi, tiacami, shamunami; shinallara canzhis espiritumanda, Diospa tiarina ñaupajpi tiajguna;	Juan, a las siete iglesias que están en Asia: Gracia a vosotros y paz de parte del que es y que era y que ha de venir, y de parte de los siete Espíritus que están delante de su trono	b.REV.1.4
Ñuca, Juan, canguna uqui, cangunahua pariju tiaj tonnendarinais, Dios mandanais, Jesucristoi ahuantasha chapanais,	Yo Juan, vuestro hermano y copartícipe en la tribulación y en el reino y en la perseverancia en Jesús, estaba en la isla llamada Patmos por causa de la palabra de Dios y del testimonio de Jesús	b.REV.1.9
Chi canzhis vela shayachina chaupi shungüi, shu runara ricucani, Runa Churi cuenta ricurijta, shu suni churanahua churarishca aca, paihua chaquigama quillpajta, pichui chumbillishca aca shu curi chumbillinahua.	y en medio de los candeleros vi a uno semejante al Hijo del Hombre, vestido con una vestidura que le llegaba hasta los pies y tenía el pecho ceñido con un cinto de oro	b.REV.1.13
Paihua uma, paihua accha yuraj aca, yuraj illma cuenta, rasu cuenta ricurij; paihua ñahui muyuuna sindij nina cuenta ricurij anauca.	Su cabeza y sus cabellos eran blancos como la lana blanca, como la nieve, y sus ojos eran como llama de fuego	b.REV.1.14
Causaj ani, astaun huañushca acani, maspas causauni huiñai huiñaigama	el que vive	b.REV.1.18
Amen	Estuve muerto, y he aquí que vivo por los siglos de los siglos	b.REV.1.18
Ñuca huañuna llavera ucu pacha llaveras charini.	Y tengo las llaves de la muerte y del Hades	b.REV.1.18
Can ricushcaunaras quillcai, shinallara tiajgunaras, caigunamanda huasha tucunaunaras.	Así que, escribe las cosas que has visto, y las que son, y las que han de ser después de éstas	b.REV.1.19
Can ñuca ali maquü ricushca canzhis estrellasgunaga, canzhis curi vela shayachinaunaga, paiguna pacashca shimi pajllai ricuríjpi casnami nin: Canzhis estrellasguna canzhis iglesia angelgunami; canzhis vela shayachinauna canzhis iglesiaunami.	En cuanto al misterio de las siete estrellas que has visto en mi mano derecha, y de los siete candeleros de oro: Las siete estrellas son los ángeles de las siete iglesias, y los siete candeleros son las siete iglesias	b.REV.1.20
Efeso llactai tiaj iglesia angelma quillcai: Ali maquii canzhis estrellasyuj nin, canzhis curi vela shayachinauna chaupi shungüi purij casna nin:	"Escribe al ángel de la iglesia en Éfeso: El que tiene las siete estrellas en su mano derecha, el que camina en medio de los siete candeleros de oro, dice estas cosas	b.REV.2.1
Can tormendarishcangui, ahuantasha chapashcangui, shinzhira tarabashcanguí ñuca shutira llaquishcamanda, mana sambayasha.	Además, sé que tienes perseverancia, que has sufrido por causa de mi nombre y que no has desfallecido	b.REV.2.3
Shina ajllaira canhua caita rimanara charini: Can ñaupa punda llaquihuashcara saquishcangui.	"Sin embargo, tengo contra ti que has dejado tu primer amor	b.REV.2.4
Caitami charingui, Nicolaítas nishcauna rashcaunara chijninguimi, ñucas paigunara chijninimi.	"Pero tienes esto: que aborreces los hechos de los nicolaítas, que yo también aborrezco	b.REV.2.6
Uyaj rinriyujga Espíritu iglesiaunama rimashcara uyachu	"El que tiene oído, oiga lo que el Espíritu dice a las iglesias	b.REV.2.7
Ñucaga vencij runara Diospa sumaj llacta chaupi shungüi shayaj Causana Yuramanda carasha.	Al que venza le daré de comer del árbol de la vida que está en medio del paraíso de Dios	b.REV.2.7
Esmirna llactai tiaj iglesia angelma quillcai: Ñaupa punda aj puchucai ajpas, huañushca aj causarishca ajpas casna nin:	"Escribe al ángel de la iglesia en Esmirna: El primero y el último, el que estuvo muerto y vivió, dice estas cosas	b.REV.2.8
Ama manzhaichu can tormendaringaraushcara	No tengas ningún temor de las cosas que has de padecer	b.REV.2.10
Supai cangunamanda huaquingunara chonda cularbi ishcachingami camangaj, chunga punzha tupura cangunara tormendachinaunga	He aquí, el diablo va a echar a algunos de vosotros en la cárcel para que seáis probados, y tendréis tribulación por diez días	b.REV.2.10
Can huañunagama ali catij ajpi, causana llaitura ñuca canda cushami.	Sé fiel hasta la muerte, y yo te daré la corona de la vida	b.REV.2.10
Uyaj rinriyujga Espíritu iglesiaunama rimashcara uyachu	"El que tiene oído, oiga lo que el Espíritu dice a las iglesias	b.REV.2.11
Vencij runaga huasha huañuimanda mana tormendaringachu.	El que venza, jamás recibirá daño de la muerte segunda	b.REV.2.11
Pérgamo llactai tiaj iglesia angelma quillcai: Ishqui iluyuj esparara charij caita nin:	"Escribe al ángel de la iglesia en Pérgamo: El que tiene la espada aguda de dos filos dice estas cosas	b.REV.2.12
Shinajllaira, ansallara charini canhua rimangaj: Chihui huaquingunara charingui Balaam nishca yachachishcaunara catijguna; paiga Balac nishcara yachachica Israelba churiunara urmachingaj, runa rashca diosgunama cushca sacrificiounara micungaj, shujgunahua tacaringajpas.	"Sin embargo, tengo unas pocas cosas contra ti: que tienes allí a algunos que se adhieren a la doctrina de Balaam, que enseñaba a Balac a poner tropiezo delante de los hijos de Israel, a comer de lo sacrificado a los ídolos y a cometer inmoralidad sexual	b.REV.2.14
Uyaj rinriyujga Espíritu iglesiaunama rimashcara uyachu	"El que tiene oído, oiga lo que el Espíritu dice a las iglesias	b.REV.2.17
Vencij runara pacashca maná nishca micunara ñuca carasha, paita shu yuraj rumihuara cusha, rumü shu mushuj shutira quillcashca tian, pihuas chi shutira mana yachangachu, astaun apijlla yachanga.	Al que venza le daré de comer del maná escondido, y le daré una piedrecita blanca y en la piedrecita un nombre nuevo escrito, que nadie conoce sino el que lo recibe	b.REV.2.17
Tiatira nishca llactai tiaj iglesia angelma quillcai: Diospa Churi, sindij nina cuenta ñahuiyuj, chiujlla ricurij paila cuenta chaquiyuj, caita nin:	"Escribe al ángel de la iglesia en Tiatira: El Hijo de Dios, que tiene sus ojos como llama de fuego y sus pies semejantes al bronce bruñido, dice estas cosas	b.REV.2.18
Can rashcaunara yachani, can llaquishcara, can quirishcara, can sirvishcara; can ahuantaisiqui ashcaras yachani, imasna can puchucai rashcauna ñaupa ajgunara yalinmi.	Yo conozco tus obras, tu amor, tu fidelidad, tu servicio y tu perseverancia; y que tus últimas obras son mejores que las primeras	b.REV.2.19
Lugarda cucani arrepentiringaj, astaumbas shujhua tacarinamanda arrepentirinara mana munanzhu.	Le he dado tiempo para que se arrepienta, y no quiere arrepentirse de su inmoralidad	b.REV.2.21
Paita unguchisha caitui shitasha, paihua tacarijgunara ashcara tormendachisha, paiguna mana arrepentirijpi pai rashcaunara.	He aquí, yo la echo en cama, y a los que con ella adulteran, en muy grande tribulación, a menos que se arrepientan de las obras de ella	b.REV.2.22
Astaun cangunama, chishu Tiatira llactai tiajgunamas, maicambas cai yachachishcara mana yachajguna asha, Satanás irus yachaira mana yachajguna ashas, ñuca cangunara nini: Yali llashajta mana apachishachu.	"Pero a los demás en Tiatira, a cuantos no tienen esta doctrina, quienes no han conocido las cosas profundas de Satanás (como las llaman), os digo: No os impongo ninguna carga más	b.REV.2.24
Astaun canguna charishcara huacachichi ñuca shamunagama.	Solamente aferraos a lo que tenéis, hasta que yo venga	b.REV.2.25
Maican runa vencijpi, ñuca rashcaunara huacachijpi puchucaigama, ñuca paita ushaira cushami llactaunara mandangaj.	Al que venza y guarde mis obras hasta el fin, yo le daré autoridad sobre las naciones	b.REV.2.26
Iru varahua paigunara mandangami, allpa manga cuenta paqui paqui tucunaungami, imasna ñuca Yayamanda apishcasna.	él las guiará con cetro de hierro; como vaso de alfarero son quebradas , así como yo también he recibido de mi Padre	b.REV.2.27
Paitaga tutamanda ricurimuj estrellasta cushami.	Además, yo le daré la estrella de la mañana	b.REV.2.28
Uyaj rinriyujga Espíritu iglesiaunama rimashcara uyachu.	"El que tiene oído, oiga lo que el Espíritu dice a las iglesias	b.REV.2.29
Sardis llactai tiaj iglesia angelma quillcai: Diospa canzhis espiritura canzhis estrellasgunaras charij caita nin: Can rashcaunara yachani, imasna causaunmi nishca angui, astaun huañushca mangui.	"Escribe al ángel de la iglesia en Sardis: El que tiene los siete Espíritus de Dios y las siete estrellas dice estas cosas: Yo conozco tus obras, que tienes nombre de que vives, pero estás muerto	b.REV.3.1
Llicchari huañungaraugunara shinzhiyachi; can rashcaunara mana ali tupura ricushcanichu Diospa ñaupajpi.	Sé vigilante y refuerza las cosas que quedan y están a punto de morir, porque no he hallado que tus obras hayan sido acabadas delante de Dios	b.REV.3.2
Uyaj rinriyujga Espíritu iglesiaunama rimashcara uyachu.	"El que tiene oído, oiga lo que el Espíritu dice a las iglesias	b.REV.3.6
Uctalla shamunimi	"Yo vengo pronto	b.REV.3.11
Huacachi can charishcara pihuas camba llaitura ama quichungaj.	Retén lo que tienes para que nadie tome tu corona	b.REV.3.11
Ñucaga vencij runara shu istandira rasha ñuca Diospa templo huasii, chimanda imahoraspas mana llucshingachu	Al que venza, yo le haré columna en el templo de mi Dios, y nunca jamás saldrá fuera	b.REV.3.12
Ñucaga ñuca Diospa shutira paihuajpi quillcasha, shinallara ñuca Diospa llacta shutira quülcasha, mushuj Jerusalén nishcara, ahua pachamanda Diospajmanda irgumujta, shinallara ñuca quiquin mushuj shutira paihuajpi quillcasha.	Y escribiré sobre él el nombre de mi Dios, y el nombre de la ciudad de mi Dios la nueva Jerusalén que desciende del cielo, enviada por mi Dios  y mi nombre nuevo	b.REV.3.12
Uyaj rinriyujga Espíritu iglesiaunama rimashcara uyachu.	"El que tiene oído, oiga lo que el Espíritu dice a las iglesias	b.REV.3.13
Laodicea nishca llactai tiaj iglesia angelma quillcai: Amen nishca, ali cierto ricusha Rimaj, Dios iñachishcara Callarij, caita nin:	"Escribe al ángel de la iglesia en Laodicea: El Amén, el testigo fiel y verdadero, el origen de la creación de Dios, dice estas cosas	b.REV.3.14
Can rashcaunara yachani, mana chiri mana rupaj ashas	Yo conozco tus obras, que ni eres frío ni caliente	b.REV.3.15
Ñuca munacani can chiri tucungaj, mana ashaga rupaj tucungaj.	¡Ojalá fueras frío o caliente	b.REV.3.15
Shinajpi can cunujlla asha, mana chiri mana rupaj asha, canda ñuca shimimanda quijnashami.	Así, porque eres tibio, y no frío ni caliente, estoy por vomitarte de mi boca	b.REV.3.16
Tucui ñuca llaquishcaunara camachini, livachini	"Yo reprendo y disciplino a todos los que amo	b.REV.3.19
Cuiraisiqui tucui, arrepentiri.	Sé, pues, celoso y arrepiéntete	b.REV.3.19
Vencij runaraga ñuca cusha pai ñucahua pariju tiaringaj ñuca apu tiarinai, imasna ñuca vencicani, ñuca Yayahua tiaricani paihua apu tiarinai.	Al que venza, yo le daré que se siente conmigo en mi trono; así como yo también he vencido y me he sentado con mi Padre en su trono	b.REV.3.21
Uyaj rinriyujga Espíritu iglesiaunama rimashcara uyachu.	"El que tiene oído, oiga lo que el Espíritu dice a las iglesias.	b.REV.3.22
Caimanda huasha shu pungu pascashcara ricucani, ahua pachai	Después de esto miré, y he aquí una puerta abierta en el cielo	b.REV.4.1
Ñuca ñaupa uyashca shimi, cormeta cuenta uyarij, ñucahua rimasha nica: Sicai caima, caiguna huasha tucunaun ara canda ricuchisha.	La primera voz que oí era como de trompeta que hablaba conmigo diciendo: "¡Sube acá, y te mostraré las cosas que han de acontecer después de éstas!	b.REV.4.1
Apu tiarina muyujta, shu ishqui chunga chuscu apu tiarinauna tianauca, tiarinaunai ishqui chunga chuscu anciano nishca rucuunara tiarijta ricucani, yuraj churanahua churarishca, curi llaituunara charinauca umai.	También alrededor del trono había veinticuatro tronos, y sobre los tronos vi a veinticuatro ancianos sentados, vestidos de vestiduras blancas, con coronas de oro sobre sus cabezas	b.REV.4.4
Tiarinamandaga rayo limpiashcauna, tulun uyarishcauna, shimiunas llucshinauca	Del trono salen relámpagos y truenos y voces	b.REV.4.5
Tiarina ñaupajpi canzhis nina velauna sindinauca, cai velauna Diospa canzhis espirituunami.	Y delante del trono arden siete antorchas de fuego, las cuales son los siete Espíritus de Dios	b.REV.4.5
Tiarina ñaupajpi shu vidrio lamar cuenta tiaca, chiu chiu ricurij rumi cuenta	Y delante del trono hay como un mar de vidrio, semejante al cristal	b.REV.4.6
Tiarina rayais tiarina muyujtas chuscu causajguna tianauca, entero aicha ñahuiunayuj aca, ñaupajmas huashamas.	Junto al trono, y alrededor del mismo, hay cuatro seres vivientes llenos de ojos por delante y por detrás	b.REV.4.6
Ñaupa causaj shu león puma cuenta ricurij, ishqui causajga huagra huahua cuenta ricurij, quinsa causaj runa ñahuira cuenta charij, chuscu causaj shu huamburij atun anga cuenta ricurij aca.	El primer ser viviente es semejante a un león, y el segundo ser viviente es semejante a un becerro, y el tercer ser viviente tiene cara como de hombre, y el cuarto ser viviente es semejante a un águila volando	b.REV.4.7
Chi chuscu causajguna, caran shuj socta rigra pangara charica, paiguna armaras ucuras ñahuiunayuj anauca	Y cada uno de los cuatro seres vivientes tiene seis alas, y alrededor y por dentro están llenos de ojos	b.REV.4.8
Tutandi punzhandi mana saquisha caparinauca: Santo, santo, santo, nisha, Tucuira Ushaj Señor Dios, ñaupa tiaj, cuna tiajpas, shamuna ajpas.	Ni de día ni de noche cesan de decir: "¡Santo, Santo, Santo es el Señor Dios Todopoderoso, que era y que es y que ha de venir!	b.REV.4.8
Caran cuti chi causajguna tiarinai tiajta alabanaun, ahuayachinaun, agrasinaun, pai huiñai huiñaigama causaj ajpi,	Y cada vez que los seres vivientes dan gloria, honra y alabanza al que está sentado en el trono y que vive por los siglos de los siglos	b.REV.4.9
chi ishqui chunga chuscu rucuunaga tiarinai tiajpa ñaupajpi tuama urmanaun, huiñai huiñaigama causajta adoranaun, paiguna llaituunara tiarina ñaupajma shitanaun, casna nisha:	los veinticuatro ancianos se postran delante del que está sentado en el trono y adoran al que vive por los siglos de los siglos; y echan sus coronas delante del trono, diciendo	b.REV.4.10
Shu shinzhi angelda ricucani shinzhi shimihua caparijta: ¿Pita valinri, nisha, quillcara pascangaj?	También vi a un ángel poderoso que proclamaba a gran voz: "¿Quién es digno de abrir el libro y de desatar sus sellos?	b.REV.5.2
Pihuas mana valijchu aca, ahua pachais, cai pachais, cai pacha ucuis, quillcara pascangaj ricungajpas.	Pero ninguno, ni en el cielo ni en la tierra ni debajo de la tierra, podía abrir el libro; ni siquiera mirarlo	b.REV.5.3
Ashcara huacacani pi valijpas mana tuparijpi quillcara pascangaj, ricusha rimangaj, ricungajpas.	Y yo lloraba mucho, porque ninguno fue hallado digno de abrir el libro; ni siquiera de mirarlo	b.REV.5.4
Ricucani, apu tiarina chuscu causajguna ishqui chunga chuscu rucuuna chaupi shungüi shu huañuchishca cuenta Borregora shayajta ricucani, canzhis cornosyuj, canzhis ñahui muyuyuj	Y en medio del trono y de los cuatro seres vivientes y de los ancianos vi un Cordero de pie, como inmolado	b.REV.5.6
Cai canzhis ñahui muyuga Diospa canzhis espirituunami, tucui munduma cachashcauna.	Tenía siete cuernos y siete ojos, que son los siete Espíritus de Dios enviados a toda la tierra	b.REV.5.6
Borrego shamuca, quillcara apica tiarinai tiajpa ali maquimanda.	Él fue y tomó el libro de la mano derecha del que estaba sentado en el trono	b.REV.5.7
Shinzhi shimihua caparisha ninauca: Sacrificioi cushca Borrego valijmi ushairas, charishcaras, yachairas, shinzhiyanaras, ali rimashca ajtas, sumajtas, alabashcaras apingaj.	Y decían a gran voz: "Digno es el Cordero, que fue inmolado, de recibir el poder, las riquezas, la sabiduría, la fortaleza, la honra, la gloria y la alabanza.	b.REV.5.12
Tucui rashcaunara, ahua pachai tiajtas, cai pachai tiajtas, cai pacha ucura tiajtas, lamarbi tiajtas, tucui paiguna ucui tiajgunaras rimajta uyacani: Tiarinai tiajma, Borregomas alabanara, ali rimashca ajtas, sumaj ajtas, ushairas huiñai huiñaigama achu, nisha.	Y oí a toda criatura que está en el cielo y sobre la tierra y debajo de la tierra y en el mar, y a todas las cosas que hay en ellos, diciendo: "Al que está sentado en el trono y al Cordero sean la bendición y la honra y la gloria y el poder por los siglos de los siglos.	b.REV.5.13
Ishqui sello nishcara pascashcai, ishqui causaj rimajta uyacani: Ricuj shami, nisha.	Cuando abrió el segundo sello, oí al segundo ser viviente que decía: "¡Ven!	b.REV.6.3
Shu puca caballo llucshimuca	Y salió otro caballo, rojo	b.REV.6.4
Caballoi montajta ushaira cushca aca cushi shungura mundumanda quichungaj, runauna parijumanda huañuchingaj	Al que estaba montado sobre él, le fue dado poder para quitar la paz de la tierra y para que se matasen unos a otros	b.REV.6.4
Paima shu atun esparara cunauca.	Y le fue dada una gran espada	b.REV.6.4
Chuscu sello nishcara pascashcai, chuscu causaj rimajta uyacani: Ricuj shami, nisha.	Cuando abrió el cuarto sello, oí la voz del cuarto ser viviente que decía: "¡Ven!	b.REV.6.7
Pichca sello nishca pascashcai, altar siquii huañushca runauna almaunara ricucani, Diospa shimira llaquishcamanda Diospa shimira rimashcamandas huañuchishcauna.	Cuando abrió el quinto sello, vi debajo del altar las almas de los que habían sido muertos a causa de la palabra de Dios y del testimonio que ellos tenían	b.REV.6.9
Shinzhi shimihua caparisha ninauca: ¿Imahorasgama Señor, chuyaj, cierto ajpas, ñucanchi yahuarmanda mana taripangui, mana cutipangui mundui causajgunara?	Y clamaban a gran voz diciendo: "¿Hasta cuándo, oh soberano Señor, santo y verdadero, no juzgas y vengas nuestra sangre sobre los que moran en la tierra?	b.REV.6.10
Yuraj churanaunara paigunara cunauca: Shu ratora samaichi, paigunara ninauca, cangunahua pariju sirvijgunas uquiunas yupashca tupu pactarinagama, paigunas cangunasna huañuchishca anaunga.	Y a cada uno de ellos le fue dado un vestido blanco; y se les dijo que descansaran todavía un poco de tiempo, hasta que se completase el número de sus consiervos y sus hermanos que también habían de ser muertos como ellos	b.REV.6.11
Socta sello nishca pascashcara ricucani	Y miré cuando él abrió el sexto sello, y se produjo un gran terremoto	b.REV.6.12
Allpa shinzhira cuyuca, indi yana tucuca yana llachapa cuenta, entero quilla yahuar cuenta ricurij tucuca.	El sol se puso negro como tela de cilicio; la luna entera se puso como sangre	b.REV.6.12
Ahua pachamanda estrellasguna cai pachama urmanauca imasna shu higo yura shinzhi huairaushcai cuyujpi paihua muyu talirin.	y las estrellas del cielo cayeron sobre la tierra, como una higuera arroja sus higos tardíos cuando es sacudida por un fuerte viento	b.REV.6.13
Mundu rey apuuna, atun runauna, charíjguna, capitanguna, ushajguna, tucui sirvijguna, tucui liuri ajguna, tucuiguna miteunauca rumi uctuunai urcu peñasgunais.	Los reyes de la tierra, los grandes, los comandantes, los ricos, los poderosos, todo esclavo y todo libre se escondieron en las cuevas y entre las peñas de las montañas	b.REV.6.15
Urcuunara peñasgunaras ninauca: Urmaichi ñucanchi ahuai, tapahuaichi ñucanchira apu tiarinai tiajpa ñahuimanda, Borrego piñarishcamandas.	y decían a las montañas y a las peñas: "Caed sobre nosotros y escondednos del rostro del que está sentado sobre el trono y de la ira del Cordero	b.REV.6.16
Paiguna atun piñarina punzha pactamushcami, ¿pita shayarinara ushangachu?	Porque ha llegado el gran día de su ira, y ¡quién podrá permanecer de pie!	b.REV.6.17
Caimanda huashaga, chuscu angelgunara shayajta ricucani, cai pacha chuscu pundai, mundui chuscu huairaunara arcajguna aca, ama huairangaj allpa ahuai, lamar ahuais, ima yura ahuais.	Después de esto, vi a cuatro ángeles que estaban de pie sobre los cuatro puntos cardinales de la tierra, y que detenían los cuatro vientos de la tierra, para que no soplase viento alguno sobre la tierra, ni sobre el mar, ni sobre ningún árbol	b.REV.7.1
Angel casna nica: Ama huajlichichu auparas, lamardas, yuraunaras, ñucanchi Diosta sirvijgunara urintii sello nishcara ñucanchi churashca huashagama.	diciendo: "¡No hagáis daño a la tierra, ni al mar, ni a los árboles, hasta que marquemos con un sello la frente de los siervos de nuestro Dios!	b.REV.7.3
Sello nishcara churashcauna yupashcara uyacani; tucui Israelba churiunamanda, shu patsac chuscu chunga chuscu huaranga sellora churashcauna anauca.	Oí el número de los sellados: 144.000 sellados de todas las tribus de los hijos de Israel	b.REV.7.4
Judá aillumanda chunga ishqui huaranga sellora churashca anauca; Rubén aillumanda chunga ishqui huaranga sellora churashca anauca; Gad aillumanda chunga ishqui huaranga sellora churashca anauca;	Sellados, de la tribu de Judá, 12.000 de la tribu de Rubén, 12.000 de la tribu de Gad, 12.00	b.REV.7.5
