PERÚ SUYU HATUN KAMAY PIRWA	CONSTITUCIÓN POLÍTICA DEL PERÚ
Chay Casación nisqa mañakuy chay 141 ñeqe kamachiman hina atinkumanmi mañakuyta sichus wañuchiyman churasqa kamachisqallapaqmi	La casación a que se refiere el artículo 141 sólo es aplicable cuando se imponga la pena de muerte
Walla mana kamachi hunt’aqqa walla paqtachakuy chay Código de Justicia Militar nisqa kamachiywanmi huchallisqa kanku	Quienes infringen las normas del Servicio Militar Obligatorio están asimismo sometidos al Código de Justicia Militar
Kikin auqanakuq kallpakuna hinaspa t’ujriy kamayoqkuna kikin allaukayoq kanankumanta	Equivalencia de derechos de oficiales de las Fuerzas Armadas y Policía Nacional
Yachaykuna, sumaykunapas, qolqe chaskiynikupas, llank’asqan rayku qolqe chaskiyninkupas oficial nisqakunaq, wallanqa kallpapipas, t’ujriy kallpapipas ninakuqmi hinaspa qolqe chaskiyninku llank’anankumantaqa kikinmi	Los grados y honores, las remuneraciones y las pensiones inherentes a la jerarquía de oficiales de las Fuerzas Armadas y de la Policía Nacional son equivalentes
Kamachiymi ichaqa hina qolqe chaskunakunta llapan llank’aqninkuna chaytaqa kamachinku	La ley establece las equivalencias correspondientes al personal militar o policial de carrera que no tiene grado o jerarquía de oficial
Kaykunaq allaukantaqa manan qechukunmanchu, mana paqtachay kamachiywanqa	En ambos casos, los derechos indicados sólo pueden retirarse a sus titulares por sentencia judicial
Armas de Guerra nisqa maqanakuykuna hap’iymanta	Uso y posesión de armas de guerra
Auqanakuq kallpakunalla, T’ujriy Kallpakunapuwan hap’iyta atinku kamachikuyninkupi auqanakuy maqanakunataqa, atinku chay armas nisqakunawan llank’ayninkuta ruway kikin kasqankuman hina, sichus chay maqanakuykunata suyupi tarikunman cheyqa suyun ap’ikapun ichaqa mana ima qolqemanta	Sólo las Fuerzas Armadas y la Policía Nacional pueden poseer y usar armas de guerra. Todas las que existen, así como las que se fabriquen o se introduzcan en el país pasan a ser propiedad del Estado sin proceso ni indemnización
Llapan kaqkunataqa utaq haykumuqkunaqa suyuq kayninmi tukun mana ima qolqe pimanpas qosqa	Se exceptúa la fabricación de armas de guerra por la industria privada en los casos que la ley señale
T’ufsikuy ruwaytaqa apusimin ruwakunapaq kamachikun, qhatukuynintapas, runaq hap’inantapas, mana auqanakuq kay maqanakuykunataqa	La ley reglamenta la fabricación, el comercio, la posesión y el uso, por los particulares, de armas distintas de las de guerra
Ch’ijllukuy ruwaymanta	Del sistema electoral
Imapaq Sistema Electoral nisqa Ch’ijllukuy Ruwaymanta	Finalidad y funciones del Sistema Electoral
Ch’ijllukuy ruwayqa kikin ajllay ruwakunantan qhawan ichaqa sut’i, qespisqa hinaspa runaq munayniman ruwasqa kananpaq	El sistema electoral tiene por finalidad asegurar que las votaciones traduzcan la expresión auténtica, libre y espontánea de los ciudadanos
hinaspa ajllay yupaykuna runaq kunayninta rikuchinan pay kikin ajllayninpi	y que los escrutinios sean reflejo exacto y oportuno de la voluntad del elector expresada en las urnas por votación directa
Yuyaypi allin ruwakunapaq qayllanta qhawarispa, hinaspa ch’ijllukuy ruwakuqtinpas qelqapi runa qelqan churasqanta allintapuni waqaychay, waqaychallataqmi llapa imayna runaq kausayni willakuyninta	Tiene por funciones básicas el planeamiento, la organización y la ejecución de los procesos electorales o de referéndum u otras consultas populares, el mantenimiento y la custodia de un registro único de identificación de las personas, y el registro de los actos que modifican el estado civil
Ch’ijllukuy Ruwaymanta	Conformación del Sistema Electoral
Hinaspa llank’ankun nunasqankuman hinallapuni ichaqa paykuna pura rimanakuspataqmi llank’ananku ruwayninman hina	Actúan con autonomía y mantienen entre sí relaciones de coordinación, de acuerdo con sus atribuciones
Ch’ijllukuy Hatun Wasiq ima ruwayninmanta	Atribuciones del Jurado Nacional de Elecciones
Ch’ijllukuy Ruway Wasiq ruwayninmi	Compete al Jurado Nacional de Elecciones
Llank’ay qhaway ch’ijlluy ruwaypi hinaspa ajlla ruwaypipas, pakuykunapipas hinaspa ima hoq llaqta tapuykunapipas, chaymantapas qelqapi sutikuna churayninpipas	Fiscalizar la legalidad del ejercicio del sufragio y de la realización de los procesos electorales, del referéndum y de otras consultas populares, así como también la elaboración de los padrones electorales
Hap’iy hinaspa waqaychay llapan t’aqa huñuy runakunaq llaqtapi rimaqkunata	Mantener y custodiar el registro de organizaciones políticas
Llapan t’aqa huñuy runakunaq llaqtapi rimaqkunaq kamachiypi kausayninta hinaspapas llapa ajllaypaq kamachikunatapas	Velar por el cumplimiento de las normas sobre organizaciones políticas y demás disposiciones referidas a materia electoral
Ch’ijlluy ruwaypi paqtachay	Administrar justicia en materia electoral
Ajllasqakunata llapanman reqsichiy; rinanakuy unt’asqatataqmi utaq hoq rimaykuykunamantapas llapan ajllasqman qelqapi churaspa qoy	Proclamar a los candidatos elegidos; el resultado del referéndum o el de otros tipos de consulta popular y expedir las credenciales correspondientes
Wakin apusimiman hina nisqakunatapas	Las demás que la ley señala
Ch’ijllupiqa, Suyupi Ajllana Wasin atin kamachiy ruwayta qallariy	En materia electoral, el Jurado Nacional de Elecciones tiene iniciativa en la formación de las leyes
Hatun Kamayoq Wasimanmi churan qolqe qochikuyninta ch’ijlluypaq hinaspa t’aqaspa sapanka llank’ay wasipas	Presenta al Poder Ejecutivo el proyecto de Presupuesto del Sistema Electoral que incluye por separado las partidas propuestas por cada entidad del sistema
Hinaspataqmi Rimana Wasipi riman	Lo sustenta en esa instancia y ante el Congreso
Ch’ijlluy ruwaq wasipi aswan hayk’aq runa huñusqa chaypaq kanamanta	Composición del Pleno del Jurado Nacional de Elecciones
Ch’ijlluy ruwaq wasipi aswan huñuyninmi asqwan kamachiqa, hinaspa pisqa kamayoqmi kanku	La máxima autoridad del Jurado Nacional de Elecciones es un Pleno compuesto por cinco miembros
Hoq pakallapi ajllasqa Hanaq Paqtay Wasiq samasqa paqtachaqta utaq paqtachakuy kamayoqkunamanta; kay iskay ñeqepiqa, llank’aninta qasisqa ruwayninta hunt’ananpaq, Hanaq Paqtay wasi kamachiqninmi Umallin	Uno elegido en votación secreta por la Corte Suprema entre sus magistrados jubilados o en actividad. En este segundo caso, se concede licencia al elegido. El representante de la Corte Suprema preside el Jurado Nacional de Elecciones
Hoq pakallapi ajllasqa Hatun Amachaqe Wasipi kamayoqninkunamanta, Llaqta Amachaqe samasqa kaqkunamanta utaq Amachaqe kamayoqkunamanta, kay iskay ñeqepiqa, llank’aninmantata q’asasqan ruwayninta	Uno elegido en votación secreta por la Junta de Fiscales Supremos, entre los Fiscales Supremos jubilados o en actividad. En este segundo caso, se concede licencia al elegido
Hoq pakallapi ajllasqa, tukuy suyupi llank’aq Amachaqe Wasipi kaqkunamanta	Uno elegido en votación secreta por el Colegio de Abogados de Lima, entre sus miembros
Hoq pakallapi ajllasqa, Llaqta kamachiypi Hatun Yachay Wasikunaq apaqninkumanta	Uno elegido en votación secreta por los decanos de las Facultades de Derecho de las universidades públicas
ichaqa samaqkunatamanta	entre sus ex decanos
Hoq pakallapi ajllasqa Sapanchasqa Hatun Yachay Wasikunaq apaqnikumanta, ichaqa samaqkunatamanta	Uno elegido en votación secreta por los decanos de las Facultades de Derecho de las universidades privadas, entre sus ex decanos
Ch’ijlluy ruwaq wasipi huñuyninpi llapa hunt’ay kamachikuna Qoymanta	Miembros del Pleno del Jurado Nacional de Elecciones
Ima hunt’aykuna	Requisitos
Ch’ijlluy ruwaq wasipi huñuyninpi aswan kamachiqniqa manan tawa chunka pisqawoq wata sullk’a chu kankuman nitaq aswan qanchis chunka wata kausayniyoq	Los integrantes del Pleno del Jurado Nacional de Elecciones no pueden ser menores de cuarenta y cinco años ni mayores de setenta
Ajllasqan kanku tawa watapaq	Son elegidos por un período de cuatro años
Ichaqa yapamanta ajllasqallataq kankumanmi	Pueden ser reelegidos
Kamachiymi willakun imayna sapanka iskay wata hunt’asqa hoq kamayoqkuna haykuyninta	La ley establece la forma de renovación alternada cada dos años
Llank’ayqa qolqemanta hinaspa p’unchanintin, manan hoq llank’aykunata atikunchu ruwayta, ichaqa atinkullataqmi yachachiyta atisqankuman hinallapuni	El cargo es remunerado y de tiempo completo. Es incompatible con cualquiera otra función pública, excepto la docencia a tiempo parcial
Manan atinkunchu kayta Ch’ijlluy Ruwaq Wasipi kayta ajllasqa llaqta kamachiqpaq, nitaq t’aqa t’aqa runa huñuyninpi kamachiqkunapas, nitaq tawa wata quepa ajllasqa munayninman	No pueden ser miembros del Pleno del Jurado los candidatos a cargos de elección popular, ni los ciudadanos que desempeñan cargos directivos con carácter nacional en las organizaciones políticas, o que los han desempeñado en los cuatro años anteriores a su postulación
Ch’ijlluy ruwaq wasipi Kamachikuna qosqanmanta	Resoluciones del Pleno del Jurado Nacional de Elecciones
Ch’ijlluy ruwaq wasipi huñuymi ajllakuy ruwaykunata tukuy yuyayninwan allinta qhawan	El Pleno del Jurado Nacional de Elecciones aprecia los hechos con criterio de conciencia
Kamachin kamachiman hina hinaspa allaukaq llapanpaq qallariyninkunaman hina	Resuelve con arreglo a ley y a los principios generales de derecho
Ajllay ruwaykunapi, rimariykunapi hinaspa ima takuykunapipas. Kamachi qelqankuna aswan mana qhepaman kutiqmi, manan pipas atimanchu t’ijrayta utaq qolluchiytapas	En materias electorales, de referéndum o de otro tipo de consultas populares, sus resoluciones son dictadas en instancia final, definitiva, y no son revisables. Contra ellas no procede recurso alguno
Ch’ijlluy Ruwaq Wasi Kamachiqmi Hatun Paqtachay Wasi	Oficina Nacional de Procesos Electorales
Ch’ijlluy Ruwaq Wasi Kamachiqmi Hatun Paqtachay Wasiq munayninman hina churasqa kan tawa wata llank’ananpaq	El Jefe de la Oficina Nacional de Procesos Electorales es nombrado por el Consejo Nacional de la Magistratura por un período renovable de cuatro años
Ichaqa horqosqa kanmanmi sichus ima hucharuwasqanmanta hinaspataqmi wijch’usqa kallanmantaq Ch’ijlluy Wasi kamachisqan	Puede ser removido por el propio Consejo por falta grave
Ruwayninmi kikin Ajllay Wasita	Está afecto a las mismas incompatibilidades previstas para los integrantes del Pleno del Jurado Nacional de Elecciones
Ruwanmi llapan ajllanakuy ajllakunanpaq, rimariykuna hinaspa takukuykuna, qolqenmantapas, hinaspa ruwananmi ajllanapaq qelqata	Le corresponde organizar todos los procesos electorales, de referéndum y los de otros tipos de consulta popular, incluido su presupuesto, así como la elaboración y el diseño de la cédula de sufragio
Hinaspallataqmi wanapaqninkunaman qonan llapan imakunapas ajllaykuna ruwakunapaq hinaspa willakuy llaqtantiman mast’arikunapaqpas	Le corresponde asimismo la entrega de actas y demás material necesario para los escrutinios y la difusión de sus resultados
Sapaqmi ajllaymanta willan hayk’a qelqa ajllay yupakuyninta	Brinda información permanente sobre el cómputo desde el inicio del escrutinio en las mesas de sufragio
Hinaspapas llapa kamachiyman ruwaykunatapas hunt’an	Ejerce las demás funciones que la ley le señala
Ajllay Ruwaq, Qelqapi Paqarimusqamanta Runakunapaq kausasqankupi rikusqa	Registro Nacional de Identificación y Estado Civil
Ajllay Ruwaq, Qelqapi Paqarimusqamanta Runaq Kausanata Qelqaq Wasi apaqnimi Hatun Paqtachay Wasiq munayninman hina churasqa kan tawa wata llank’ananpaq	El Jefe del Registro Nacional de Identificación y Estado Civil es nombrado por el Consejo Nacional de la Magistratura por un período renovable de cuatro años
Ichaqa horqosqa kanmanmi sichus ima hucharuwasqanmanta hinaspataqmi wijch’usqa kallanmantaq Ch’ijlluy Wasi kamachisqan. Ruwayninmi kikin	Puede ser removido por dicho Consejo por falta grave. Está afecto a las mismas incompatibilidades previstas para los integrantes del Pleno del Jurado Nacional de Elecciones
Chaymantapas imaymana ruwayninta kamachiman hina ruwan	Ejerce las demás funciones que la ley señala
Ch’ijlluy ruwaq wasin qolluymanta	Nulidad de los procesos electorales
Ch’ijlluy ruwaq wasin qolluchin ajllayta, rimariyta utaq hoq llaqtaq takukynintapas sichus qollusqaña kaqtin, utaq yuraq qelqa rikhurimujtin, sichus pachaq yupay nisqamanta kinsa ñeqe iskaychasqa ñeqe ajllaymanta kan	El Jurado Nacional de Elecciones declara la nulidad de un proceso electoral, de un referéndum o de otro tipo de consulta popular cuando los votos nulos o en blanco, sumados o separadamente, superan los dos tercios del número de votos emitidos
Waroyoq wasipaq atillaqtami hoq neray ajllay kananpaq sapaq kamachita qoy	La ley puede establecer proporciones distintas para las elecciones municipales
Llaqta rikusqanpi ajllayta yupay	Escrutinio Público
Ajllay llaqta rimaqtin yupay utaq imayna ajllaypipas hamp’ara ajllay patapi mana tatispa ch’ulla kutillapin yupakun	El escrutinio de los votos en toda clase de elecciones, de referéndum o de otro tipo de consulta popular se realiza en acto público e ininterrumpido sobre la mesa de sufragio
Ichaqa atikunmi yapamanta yupayta sichus chay yupanapi pantay kanman utaq ajllaypi kaqkuna mañakuqtin, chayman hina kamachiman hina umalliqta churan	Sólo es revisable en los casos de error material o de impugnación, los cuales se resuelven conforme a ley
Sumaq tkaq hinaspa waqaychaypi ajllay ruway	Orden y seguridad durante los comicios
Ajllay Ruwaq Wasin kamachin ajllaypaq ima kamachitapas ichaqa allin ch’uya kananpaq hinaspa runaq qespiyninta allaukanta ima rikusqa kananpaq chay ajllay p’unchaypi	La Oficina Nacional de Procesos Electorales dicta las instrucciones y disposiciones necesarias para el mantenimiento del orden y la protección de la libertad personal durante los comicios
Kay kamachikunaqa hunt’anapunin chaypaqmi yanapachikun Auqanakuq kallpakunawan hinaspa T’ujriy Kamayoqkunawan	Estas disposiciones son de cumplimiento obligatorio para las Fuerzas Armadas y la Policía Nacional
Askha runakuna kamayoqkuna ajllay	Elecciones pluripersonales
Askha runaq ajllayninpi kanmi llapan ajllay atinkun hayk’a haykuyninkunan hina yupaypi ratiyta kamachiman hina	En las elecciones pluripersonales hay representación proporcional, conforme al sistema que establece la ley
Apusimi qelqa willakun imaynan Perú Suyu hawa llaqtapi kausaq runakunaq ajllayninta	La ley contiene disposiciones especiales para facilitar el voto de los peruanos residentes en el extranjero
Chaupichakuy qolluchiy	De la descentralización
Chaupichakuy qolluchiyqa hoq neray llaqtaq kamachiyninwan ruwakunallapunin, tukuy llaqta suyu ñaupaqman wiñananpaq	La descentralización es una forma de organización democrática y constituye una política permanente de Estado, de carácter obligatorio, que tiene como objetivo fundamental el desarrollo integral del país
Chaupichakuy qolluchiyqa t’aqa t’aqa chikallapanta ruwakun, ichaqa yuyaykunata yupanchaspa llank’anapaq suyuntinpi sapanka llaqtakunaman t’aqa t’aqa rakiypi qolqe chayananpaq	El proceso de descentralización se realiza por etapas, en forma progresiva y ordenada conforme a criterios que permitan una adecuada asignación de competencias y transferencia de recursos del gobierno nacional hacia los gobiernos regionales y locales
Suyuq kallpankuna hinaspa llapa hatun kamachiy wasikuna chaymantapas qolqe suyu chaupichakuyqolluchiykun kamachiyman hina	Los Poderes del Estado y los Organismos Autónomos así como el Presupuesto de la República se descentralizan de acuerdo a ley
Perú suyuqa kinsa huch’uy suyukunapi t’aqasqan llaqtakunapi, huch’uy llaqtakunapi hinaspapas k’itikunapi, sapanka chhayna nisqakunapin kan hinaspa churakun hatun llaqta kamachiy, suyu kamachiy hinaspa huch’uy llaqta mamachiypi, ichaqa. Runakunaq hatun kamachiyman hinaspa kamachiykunaman hina, ichaqa waqaychasqa llaqta suyuq tukuy sumaq kayninta	El territorio de la República está integrado por regiones, departamentos, provincias y distritos, en cuyas circunscripciones se constituye y organiza el gobierno a nivel nacional, regional y local, en los términos que establece la Constitución y la ley, preservando la unidad e integridad del Estado y de la Nación
Suyuq kamachiyninqa hatun llaqtakunan hinaspa taqsa llaqtakunan, huch’uy llaqtakuna chaymantapas ayllukuna	El ámbito del nivel regional de gobierno son las regiones y departamentos. El ámbito del nivel local de gobierno son las provincias, distritos y los centros poblados
Huch’uy suyukuna kamakurqan ñaupaq llaqta kausayninta, ruwayninta hinaspa qolqe imayna maskhayninta qhawaripa, huñuspa ch’ulla pachapi kausaqta hina	Las regiones se crean sobre la base de áreas contiguas integradas histórica, cultural, administrativa y económicamente, conformando unidades geoeconómicas sostenibles
Chay chaupichakuy qolluchiyqa qallarin kamachiq runakunata ajllaspa khunan taqasa llaqtakunapi kaqkunata hinaspa Callao nisqa huch’uq llaqta kamachiqtawan	El proceso de regionalización se inicia eligiendo gobiernos en los actuales departamentos y la Provincia Constitucional del Callao
Chay kamachiykunaqa huch’uy suyukunamantan	Estos gobiernos son gobiernos regionales
Llaqtakunapi kausaq runakunata tapuspan iskay utaq astawanpas llaqtakuna hoq huch’uy suyuta kamankumanmi, ichaqa kamachiyman hinamupi	Mediante referéndum podrán integrarse dos o más circunscripciones departamentales contiguas para constituir una región, conforme a ley
Kikillantapunis qati qati taqsa hinaspa huch’uy llaqtakuna ruwayta atillankumantaq hoq suyuman tiqrakuyta munaqtinku	Igual procedimiento siguen las provincias y distritos contiguos para cambiar de circunscripción regional
Kamachiymantan kan wakin ruwaykumantapas, chaymanta hoq neray llaqtakuna huñunakunanmantapas	La ley determina las competencias y facultades adicionales, así como incentivos especiales, de las regiones así integradas
Llaqtakunaq huñunakuynin ruwakunan kama, iskay utaq astawan suyukuna rimarinakuspa kausayninkupaq ruwayta atillankumanmi	Mientras dure el proceso de integración, dos o más gobiernos regionales podrán crear mecanismos de coordinación entre sí
Kamachiypa ukhunpin ichaqa ima ruwaypas	La ley determinará esos mecanismos
Huch’uy suyu llaqtakuna kikillamni kamachikunku, qolqenmantapas, kausaninmantapas hinaspa llapa ruwayninmantapas, llapa municipalidad nisqa warayoq wasikunawan rimarispa ichaqa yupanchaspa ruwayninkunata	Los gobiernos regionales tienen autonomía política, económica y administrativa en los asuntos de su competencia. Coordinan con las municipalidades sin interferir sus funciones y atribuciones
Chay estructura básica nisqa kay gobiernos regionales nisqakunamanta huñunasqa kanku chay Consejo Regional, como órgano normativo y fiscalizador nisqa ukhupi, Gobernador Regional, órgano ejecutivo nisqa kayninpi, hinaspa Consejo de Coordinación Regional nisqakuna iman kuskachasqa kayninkupi chay alcaldes provinciales nisqakubna hinaspa sociedad civil nisqa llaqta runakunaqta runanchasapank, órgano consultivo hinaspa coordinación rimanayukuspa chay municipalidades nisqakunawanmi llank’anku kikin kamachiyman hina	La estructura orgánica básica de estos gobiernos la conforman el Consejo Regional, como órgano normativo y fiscalizador, el Gobernador Regional, como órgano ejecutivo, y el Consejo de Coordinación Regional integrado por los alcaldes provinciales y por representantes de la sociedad civil, como órgano consultivo y de coordinación con las municipalidades, con las funciones y atribuciones que les señala la ley
Consejo Regional nisqataqmi soqta miembros utaq iskay chunka pisqayoq miembros ichaqqa hoq miembro nisqapunillapas sapanka provincia nisqa kanallanmi, kamachiman hina, hinapas chay criterio poblacional nisqa willakusqanman hina	El Consejo Regional tendrá un mínimo de siete miembros y un máximo de veinticinco, debiendo haber un mínimo de uno por provincia y el resto, de acuerdo a ley, siguiendo un criterio de población electoral
Suyu kamachi Umalliq, Vicepresidente Rimana Wasi Apulli utaq warayoq, Gobernadores hinaspa Vicegobernadores Regionales nisqakunaqa ajllasqa kanakupaq haykunakupaqqa chay llank’ayninkutan saqenanku soqta killakuna manaraq ajllay ruwakusqanman	Para postular a Presidente de la República, Vicepresidente, Congresista o Alcalde; los Gobernadores y Vicegobernadores Regionales deben renunciar al cargo seis meses antes de la elección respectiva
Kamachiymi churan hayk’a warmikuna utaq qarikuna, comunidades campesinas y nativas nisqa, hinaspa kikin pueblos originarios nisqakunaman runakuna ajllasqa chay Consejos Regionales nisqapaq ajllasqa kanakuta	La ley establece porcentajes mínimos para hacer accesible la representación de género, comunidades campesinas y nativas, y pueblos originarios en los Consejos Regionales
Kikintan ruwanku chay Concejos Municipales nisqa warayoq wasikunaq kamayoqninkunapaq	Igual tratamiento se aplica para los Concejos Municipales
Chay Gobernadores Regionales nisqa Kamayoqkunan purinaku Hatun Riaman Wasiman sichus wajasqa kaqtinku ichaqa kamachiman hina hinaspa chay Reglamento del Congreso de la República nisqa huch’uy kamachiman hinallapuni, mana cheyqa mana allin rikusqan kankuman	Los Gobernadores Regionales están obligados a concurrir al Congreso de la República cuando éste lo requiera de acuerdo a ley y al Reglamento del Congreso de la República, y bajo responsabilidad
Huch’uy suyupi kamachiqkuna llaqta ñaupaqmaman wiñaynintan munan, qolqe kayninta allinta qhawarispa, hinaspa allinta llank’aypaq churaspa, llaqtapi kausaq runakunanan allin kananpaq, ichaqa sumaq tukuy suyu, huch’uy suyu ayllukunan kausayninman	Los gobiernos regionales promueven el desarrollo y la economía regional, fomentan las inversiones, actividades y servicios públicos de su responsabilidad, en armonía con las políticas y planes nacionales y locales de desarrollo
Atinkun ruwayta	Son competentes para
Ukhu ruwaynin chaskiy hinaspa qolqenmantapas	Aprobar su organización interna y su presupuesto
Niy hinaspa chaskiy huch’uy suyuq ñaupaqman riyta rimayanakuspa municipalidades nisqakunawan hinaspa llapa runankunawanpas	Formular y aprobar el plan de desarrollo regional concertado con las municipalidades y la sociedad civil
kayninkunata hinaspa qolqenkuta kusa qhawayta	Administrar sus bienes y rentas
Qhawaspa apullichiykunata qoy, llank’ana qelqata hinaspa aullaukakunata llapa kamachiykuna kaypi	Regular y otorgar las autorizaciones, licencias y derechos sobre los servicios de su responsabilidad
Huch’uy suyu qhapaq kayninta kuyuchiy hinaspa llank’aspa sumaq t’ikarinanpaq	Promover el desarrollo socioeconómico regional y ejecutar los planes y programas correspondientes
Huch’uy suyuq kamachiykunata yuyaywan churay	Dictar las normas inherentes a la gestión regional
Qhawaspa kuyuchiy ruwaynunata utaq chaqra llank’anapaq, challwapaq, llank’ay ruwaywan ruruypaq, agroindustria nisqapaq, qhatuypaq, reqsiy munaqta, kallpapaq, antamanta, ñankunamanta, rumaykunamanta, yachaymanta, qhalikaymanta hinaspata llapan kaymanta kamachiyman hina	Promover y regular actividades y/o servicios en materia de agricultura, pesquería, industria, agroindustria, comercio, turismo, energía, minería, vialidad, comunicaciones, educación, salud y medio ambiente, conforme a ley
Yachaypi tupanakuyta kuyuchiy, imaymana llank’aykunapaq qolqe tariy hinaspa ñankuna wasikuna llut’aspa huch’uy suyu kausaypi	Fomentar la competitividad, las inversiones y el financiamiento para la ejecución de proyectos y obras de infraestructura de alcance e impacto regional
Suyu apusimi kamaykunata imaymana ruwayninkunapi kayniman hina hayway	Presentar iniciativas legislativas en materias y asuntos de su competencia
Kamachiyman hinallapuni imaymana llank’aypi ruwayninkunata ruway	Ejercer las demás atribuciones inherentes a su función, conforme a ley
Huch’uy suyuq kaynin hinaspa qolqenmi kan	Son bienes y rentas de los gobiernos regionales
Wasikuna hinaspa astanakuna paypa kaqnin	Los bienes muebles e inmuebles de su propiedad
Llaqtaq qolqe rakiypi kamachiyman hina qolqe chaskiy	Las transferencias específicas que les asigne la Ley Anual de Presupuesto
Qolqe churaykuna allin kayninpaq	Los tributos creados por ley a su favor
Llapa qolqe allaukakuna sapanchasqa rayku tariy, qosqa rayku hinaspa llank’ayninku kayway rayku, kamachiyman hina	Los derechos económicos que generen por las privatizaciones, concesiones y servicios que otorguen, conforme a ley
Llapa qolqe chaskisqakuna Fondo de Compensación Regional ichaqa llapanpaq rakina kaqtin, kamachiyman hina	Los recursos asignados del Fondo de Compensación Regional, que tiene carácter redistributivo, conforme a ley
Llapa kaykuna qolqe churayman hina	Los recursos asignados por concepto de canon
Llapa qolqe rantispa qhatuspa chaskiy ichaqa suyu rantinkaypi, kamachiyman hina	Los recursos provenientes de sus operaciones financieras, incluyendo aquellas que realicen con el aval del Estado, conforme a ley
Wakinpas kamachiyman hina	Los demás que determine la ley
Municipalidades provinciales hinaspa distritales nisqa warayoq taqsa llaqtapi utaq hunch’uypi ima kamachiq wasikuna kanku	Las municipalidades provinciales y distritales son los órganos de gobierno local
Chay sapankataqmi kikin kausayniyoq, qolqeyoq hinaspa kausayniyoq kanku	Tienen autonomía política, económica y administrativa en los asuntos de su competencia
Sapanka aswan huch’uy centros poblados nisqakunataqmi kamachiyman hina kamasqa kanku	Las municipalidades de los centros poblados son creadas conforme a ley
Suyu umalliq kamachiq, Vicepresidente nisqa Rimana Wasi Apulli, Gobernador utaq Vicegobernador del Gobierno Regional nsiqa	Para postular a Presidente de la República, Vicepresidente, Congresista, Gobernador o Vicegobernador del Gobierno Regional
Waroyoqkuna iman llank’ayninkuta saqenanku soqta killakuna manaraq ajllayman haykuykinkuman	los Alcaldes deben renunciar al cargo seis meses antes de la elección respectiva
Huch’uy llaqtaq allaukakunan paqarichiyku llaqtaq qhapaqkayninta, hinaspa llaqtantinpaq sumaq kausayta hunt’a kaywan, llaqta suyuntin kayninman hina ñaupaqpaqpuni rinanpaq	Los gobiernos locales promueven el desarrollo y la economía local, y la prestación de los servicios públicos de su responsabilidad, en armonía con las políticas y planes nacionales y regionales de desarrollo
Atinku ruwayta	Son competentes para
Chaskiy Ukhupi imayna kausayninta hinaspa qolqenta	Aprobar su organización interna y su presupuesto
Chaskiy ñaupaqman rinanpaq imayna ruwanata rimaspa llaqtapi sapanchasqa runakunawan	Aprobar el plan de desarrollo local concertado con la sociedad civil
Rikuy kayninkunata hinaspa qolqenkunatapas	Administrar sus bienes y rentas
Kamay, chhalay hinaspa horqoy qolqe qoyta, chaskiyta, wasimanta qolqe qoy, derechos municipales nisqakunata, kamachiyman hina	Crear, modificar y suprimir contribuciones, tasas, arbitrios, licencias y derechos municipales, conforme a ley
Rikuy kayninkunata hinaspa qolqenkunatapas	Administrar sus bienes y rentas
Kamay, chhalay hinaspa horqoy qolqe qoyta, chaskiyta, wasimanta qolqe qoy, derechos municipales nisqakunata, kamachiyman hina	Crear, modificar y suprimir contribuciones, tasas, arbitrios, licencias y derechos municipales, conforme a ley
Kikin llaqtapi wasikunamanta chaqrakunamantapas yuyay, ichaqa rikuspa imayna qelqapi zonificación, urbanismo y el acondicionamiento territorial nisqata tarinqa, chaymantapas suyu patapi	Planificar el desarrollo urbano y rural de sus circunscripciones, incluyendo la zonificación, urbanismo y el acondicionamiento territorial
Astawan yanapay qolqe tariymanta hinaspa llank’aypaq churaymantapas	Fomentar la competitividad, las inversiones y el financiamiento para la ejecución de proyectos y obras de infraestructura local
Wiñachiy hinaspa ruwaykunata utaq qoykunata yachaypi, qhali kaypi, wasi, allchaypi, pacha kausaypi, transporte colectivo nisqapi, puriykunapi, reqsiykunapi, allin ñaupaq wasikuna llut’aykuna rikuypi, tukuy yachaykunapi, pujllaykunapi, kamachiyman hina	Desarrollar y regular actividades y/o servicios en materia de educación, salud, vivienda, saneamiento, medio ambiente, sustentabilidad de los recursos naturales, transporte colectivo, circulación y tránsito, turismo, conservación de monumentos arqueológicos e históricos, cultura, recreación y deporte, conforme a ley
Yachayninman hina mosoq kamachiykunata kallpachay	Presentar iniciativas legislativas en materias y asuntos de su competencia
Apulliq kayninman hina ruwaynin kananpaq, kamachiyman hina	Ejercer las demás atribuciones inherentes a su función, conforme a ley
Kapuykuna hinaspa qolqekuna Municipalidades nisqa wasikunaqmi	Son bienes y rentas de las municipalidades
Paypa Wasinkuna hinaspa wasipi kaykuna	Los bienes muebles e inmuebles de su propiedad
Llapa qolqe churaykuna kamachiyman hina	Los tributos creados por ley a su favor
Qolqe Churaykuna, tasas, arbitrios, licencias nisqakuna llapan kamasqa allaukata municipales nisqa kamachiyman hina	Las contribuciones, tasas, arbitrios, licencias y derechos creados por Ordenanzas Municipales, conforme a ley
Sapanchasqa, qoykuna hinaspa ruwaykuna qolqemanta allaukakuna qoy, kamachiyman hina	Los derechos económicos que generen por las privatizaciones, concesiones y servicios que otorguen, conforme a ley
Qolqe qosqakuna Fondo de Compensación Municipal, rakina atiymi kananku, kamachiyman hina	Los recursos asignados del Fondo de Compensación Municipal, que tiene carácter redistributivo, conforme a ley
